Clone,pI_VH,pI_VL,Hyd_VH,Hyd_VL,NG_VH,NG_VL,DG_VH,DG_VL,Met_VH,Met_VL,Trp_VH,Trp_VL,Lys_total
Fab155,4.385,7.944,40.3,35.2,0,0,1,0,2,1,4,2,8
Fab156,4.352,7.944,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab157,4.261,7.944,41.1,34.3,0,0,1,0,2,2,6,2,8
Fab158,4.418,7.944,40.3,33.3,0,0,0,0,2,1,4,2,8
Fab159,4.352,7.944,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab16,4.322,7.952,40.3,33.3,0,0,1,1,2,2,4,1,8
Fab160,4.261,6.311,41.9,33.3,0,0,1,0,2,2,5,2,8
Fab161,4.418,6.336,40.3,34.3,0,0,1,0,2,2,4,2,8
Fab162,4.261,7.944,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab163,4.16,6.31,41.9,32.4,0,0,1,1,2,1,4,2,8
Fab164,4.13,7.952,41.9,33.7,0,0,1,0,3,2,4,2,8
Fab165,4.291,7.881,41.9,35.2,0,0,1,0,2,2,3,2,9
Fab166,4.291,7.944,39.5,32.4,0,0,0,1,2,1,4,2,8
Fab167,4.418,6.31,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab168,4.382,6.309,42.7,33.3,0,0,1,0,1,1,4,1,7
Fab169,4.385,7.935,40.3,32.4,0,0,1,0,3,1,5,1,8
Fab17,4.352,7.935,41.1,33.3,0,0,1,0,2,1,4,1,8
Fab170,4.385,7.944,39.5,32.4,1,0,1,1,2,1,4,2,8
Fab171,4.261,6.31,40.3,33.3,0,0,1,0,2,2,4,2,8
Fab172,4.385,7.944,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab173,4.291,6.31,41.1,33.3,0,0,1,0,2,2,4,2,8
Fab174,4.16,6.31,42.7,33.3,0,0,1,0,2,1,5,2,8
Fab175,4.352,6.303,41.1,34.3,1,0,1,0,2,2,5,2,8
Fab176,4.385,6.31,40.3,34.3,0,0,1,0,1,2,5,2,7
Fab177,4.16,6.31,41.1,32.4,0,0,0,0,2,1,4,2,8
Fab178,4.261,7.944,41.1,34.3,0,0,1,0,2,2,6,1,8
Fab179,4.16,6.31,41.9,32.4,0,0,1,1,2,1,5,2,8
Fab18,4.385,7.952,39.5,33.3,1,0,0,0,2,1,4,3,9
Fab180,4.291,7.944,41.1,35.2,0,0,1,0,2,2,5,2,8
Fab181,4.385,6.31,41.1,32.4,0,0,0,1,2,1,5,2,8
Fab182,4.258,6.31,42.7,33.3,0,0,1,1,2,2,5,2,7
Fab183,4.385,7.952,40.3,34.3,0,0,1,0,2,1,5,2,8
Fab184,4.418,6.335,40.3,34.3,0,0,1,0,1,1,5,1,8
Fab185,4.261,6.31,41.9,33.3,0,0,1,0,2,2,5,1,8
Fab186,4.385,7.952,40.3,33.3,0,0,1,0,2,1,5,3,8
Fab187,4.352,7.944,41.9,32.4,0,0,1,0,3,1,4,2,8
Fab188,4.352,6.31,40.3,33.3,0,0,1,0,1,2,3,2,8
Fab189,4.352,6.309,41.9,35.2,0,0,1,0,2,2,4,1,8
Fab19,4.352,6.337,40.3,34.3,0,0,1,0,1,2,5,3,8
Fab190,4.16,7.952,42.7,33.7,0,0,1,0,2,2,4,1,8
Fab191,4.352,7.944,40.3,32.4,0,0,1,0,2,1,5,2,8
Fab192,4.385,6.31,40.3,34.3,0,0,1,0,2,2,5,2,8
Fab193,4.352,6.31,40.3,34.3,0,0,1,0,1,2,6,2,8
Fab194,4.13,7.944,42.7,34.6,0,0,1,0,2,2,5,2,8
Fab195,4.291,7.952,41.1,34.3,0,0,1,0,2,2,5,3,8
Fab196,4.322,7.944,40.3,33.3,0,0,1,0,2,1,4,2,8
Fab197,4.352,6.311,41.1,33.3,0,0,1,1,2,2,4,2,8
Fab198,4.128,7.944,41.9,33.7,0,0,1,0,2,2,4,2,8
Fab199,4.355,6.336,41.1,34.3,0,0,1,0,1,2,4,2,8
Fab20,4.261,7.944,41.1,34.3,0,0,1,0,2,2,4,2,8
Fab200,4.261,7.875,41.1,35.2,0,0,1,0,2,2,4,2,8
Fab201,4.291,6.303,41.9,33.3,0,0,1,0,2,2,5,2,8
Fab202,4.352,6.31,40.3,35.2,0,0,1,0,2,2,4,1,8
Fab203,4.418,6.336,41.9,33.3,0,0,1,0,2,1,4,2,8
Fab204,4.349,7.935,41.9,33.3,0,0,1,0,2,1,4,1,7
Fab205,4.385,6.359,41.9,33.3,0,0,1,0,2,1,4,2,8
Fab206,4.385,7.935,41.1,34.3,0,0,1,0,2,1,5,1,8
Fab207,4.385,7.935,39.5,33.3,1,0,1,0,2,1,4,1,8
Fab208,4.291,6.359,42.7,33.3,0,0,0,0,1,2,4,2,8
Fab209,4.352,6.31,41.1,33.3,1,0,1,1,2,2,4,2,9
Fab21,4.414,6.303,41.1,33.3,0,0,1,0,2,1,5,2,7
Fab210,4.385,7.944,39.5,33.3,0,0,1,0,2,1,4,2,8
Fab211,4.261,7.944,41.1,34.3,0,0,1,0,3,2,6,2,8
Fab212,4.385,7.952,41.1,33.3,0,0,1,0,2,1,3,3,8
Fab22,4.19,6.336,42.7,32.4,0,0,1,0,3,1,4,2,7
Fab23,4.16,7.944,41.1,33.7,0,0,1,0,2,2,5,2,8
Fab24,4.13,7.944,41.9,33.7,0,0,1,0,2,2,4,2,8
Fab25,4.291,7.944,41.1,34.3,0,0,1,0,2,2,5,1,8
Fab26,4.352,6.303,40.3,34.3,0,0,1,0,2,2,3,2,8
Fab27,4.261,7.875,39.5,33.3,0,0,1,0,2,1,4,2,7
Fab28,4.385,6.303,41.9,34.3,0,0,0,0,2,2,4,2,7
Fab29,4.261,7.944,40.3,34.3,0,0,1,0,2,1,4,2,9
Fab30,4.13,6.336,41.9,32.4,0,0,2,0,2,1,3,2,8
Fab31,4.385,7.875,41.1,33.3,0,0,1,0,2,1,4,2,8
Fab32,4.291,7.944,40.3,34.3,0,0,1,0,2,1,3,2,8
Fab33,4.385,7.944,39.5,35.2,1,0,1,0,2,1,4,2,7
Fab34,4.352,6.336,40.3,34.3,0,0,1,0,1,1,6,2,8
Fab35,4.385,7.952,40.3,32.4,0,0,1,0,2,1,4,2,9
Fab36,4.322,7.952,40.3,33.3,0,0,1,0,2,1,4,3,8
Fab37,4.352,6.31,40.3,33.3,0,0,1,1,1,2,6,2,8
Fab38,4.261,7.944,41.1,35.2,0,0,1,0,2,2,4,2,9
Fab39,4.352,6.31,39.5,34.3,0,0,2,0,1,2,4,2,8
Fab40,4.352,7.952,39.5,34.3,0,0,1,0,2,1,4,2,8
Fab41,4.385,7.944,41.9,32.4,0,0,1,0,2,1,4,2,8
Fab42,4.418,7.944,41.1,33.3,0,0,0,0,2,1,3,2,8
Fab43,4.385,6.311,41.9,33.3,0,0,0,0,2,1,4,2,8
Fab44,4.352,6.31,41.1,33.3,0,0,1,0,2,1,5,2,8
Fab45,4.418,7.935,41.1,33.3,0,0,0,0,2,1,4,1,8
Fab46,4.352,7.944,39.5,33.3,0,0,1,0,2,1,4,2,8
Fab47,4.352,6.31,41.1,33.3,0,0,1,0,2,2,6,2,8
Fab48,4.352,6.336,41.1,34.3,0,0,0,0,2,2,3,2,8
Fab49,4.389,7.952,40.3,33.3,0,0,1,0,2,1,4,2,9
Fab50,4.385,7.944,41.1,33.3,0,0,1,0,2,1,4,1,8
Fab51,4.385,6.311,41.9,33.3,0,0,1,0,2,1,6,3,8
Fab52,4.322,6.311,41.9,33.3,0,0,1,0,2,2,4,3,8
Fab53,4.16,7.944,41.1,34.6,0,0,0,0,2,2,4,2,9
Fab54,4.16,7.944,42.7,34.6,0,0,1,0,2,2,6,2,8
Fab55,4.385,7.944,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab56,4.352,6.31,41.1,34.3,0,0,1,0,2,2,3,2,8
Fab57,4.355,7.944,39.5,33.3,0,0,1,0,2,1,5,2,8
Fab58,4.352,7.868,41.1,33.3,0,0,1,0,2,1,4,1,8
Fab59,4.322,7.875,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab60,4.19,7.944,41.9,33.7,0,0,0,0,2,2,5,2,8
Fab61,4.352,6.31,41.1,34.3,0,0,1,0,2,1,5,2,7
Fab62,4.261,7.944,40.3,33.3,0,0,1,0,2,1,3,2,8
Fab63,4.352,6.31,40.3,34.3,0,0,1,0,2,2,6,2,8
Fab64,4.418,7.944,40.3,33.3,0,0,1,0,2,1,3,2,8
Fab65,4.418,6.311,41.1,33.3,0,0,1,0,2,1,3,1,8
Fab66,4.389,7.944,40.3,33.3,1,0,1,0,2,1,4,2,9
Fab67,4.385,7.944,41.9,33.3,0,0,1,0,2,1,3,2,8
Fab68,4.385,7.944,39.5,33.3,1,0,0,0,2,1,4,2,8
Fab69,4.385,7.952,39.5,33.3,1,0,1,0,2,1,5,3,8
Fab70,4.261,6.311,41.9,33.3,0,0,1,0,2,2,5,2,8
Fab71,4.352,7.944,39.5,33.3,0,0,1,0,2,1,4,2,9
Fab72,4.352,7.944,40.3,32.4,0,0,1,1,2,1,4,2,8
Fab73,4.352,6.31,41.9,33.3,0,0,0,0,2,2,5,2,8
Fab74,4.451,6.31,41.1,35.2,0,0,1,0,2,2,4,2,8
Fab75,4.385,6.311,40.3,34.3,0,0,1,0,2,1,5,3,8
Fab76,4.352,6.312,40.3,34.3,0,0,1,0,1,2,4,2,8
Fab77,4.352,6.31,40.3,34.3,0,0,1,0,2,2,4,2,8
Fab78,4.418,6.31,40.3,34.3,1,0,0,0,1,2,4,2,8
Fab79,4.261,7.944,40.3,33.3,0,0,0,0,2,1,5,1,8
Fab80,4.382,7.944,39.5,33.3,0,0,1,0,2,1,5,1,8
Fab81,4.349,7.952,40.3,33.3,0,0,1,0,2,1,4,1,7
Fab82,4.261,6.31,41.9,33.3,0,0,1,0,2,2,4,2,8
Fab83,4.13,6.31,42.7,32.4,0,0,0,0,2,1,3,1,8
Fab84,4.289,7.944,40.3,34.3,0,0,0,0,2,1,4,2,7
Fab85,4.352,7.944,39.5,33.3,1,0,1,0,2,1,3,2,8
Fab86,4.261,7.944,41.1,34.3,0,0,0,0,2,2,4,2,8
Fab87,4.389,6.31,40.3,33.3,0,0,1,1,2,2,5,2,9
Fab88,4.261,7.944,41.1,33.3,0,0,1,0,2,2,5,2,8
Fab89,4.16,7.961,41.9,33.7,0,0,0,0,2,2,5,3,8
Fab90,4.261,7.875,40.3,33.3,0,0,1,0,2,1,5,2,8
Fab91,4.385,6.336,40.3,34.3,1,0,1,0,2,2,6,2,8
Fab92,4.261,6.31,41.9,33.3,0,0,1,0,3,2,4,1,9
Fab93,4.352,6.31,41.9,33.3,0,0,1,0,3,1,3,1,8
Fab94,4.385,7.944,41.1,33.3,0,0,0,0,2,1,4,2,8
Fab95,4.22,7.952,41.9,33.7,0,0,1,0,2,2,5,2,8
Fab96,4.418,6.336,40.3,33.3,0,0,0,0,2,1,4,2,8
Fab97,4.352,7.944,41.1,33.3,0,0,1,0,2,1,5,1,8
Fab98,4.352,7.935,40.3,33.3,0,0,1,0,1,1,5,1,8
Fab99,4.352,6.31,40.3,34.3,0,0,1,0,2,2,3,1,8
