Clone,K_total,K_cdr,K_fr,K_accessible,Eq_best,P_DAR_1_2,P_DAR_ge4,E_DAR
Fab132,8,1,7,7,4,0.638,0.051,1.59
Fab133,8,1,7,7,4,0.638,0.051,1.59
Fab134,8,1,7,7,4,0.638,0.051,1.59
Fab135,8,1,7,7,4,0.638,0.051,1.59
Fab136,8,1,7,7,4,0.638,0.051,1.59
Fab137,9,2,7,8,4,0.628,0.058,1.61
Fab138,8,1,7,7,4,0.638,0.051,1.59
Fab139,8,1,7,7,4,0.638,0.051,1.59
Fab14,8,1,7,7,4,0.638,0.051,1.59
Fab140,8,1,7,7,4,0.638,0.051,1.59
Fab141,8,1,7,7,4,0.638,0.051,1.59
Fab142,8,1,7,7,4,0.638,0.051,1.59
Fab143,8,1,7,7,4,0.638,0.051,1.59
Fab144,8,1,7,7,4,0.638,0.051,1.59
Fab145,8,1,7,7,4,0.638,0.051,1.59
Fab146,8,1,7,7,4,0.638,0.051,1.59
Fab147,8,1,7,7,4,0.638,0.051,1.59
Fab148,8,1,7,7,4,0.638,0.051,1.59
Fab149,8,1,7,7,4,0.638,0.051,1.59
Fab15,7,0,7,7,4,0.638,0.051,1.59
Fab150,8,1,7,7,4,0.638,0.051,1.59
Fab151,8,1,7,7,4,0.638,0.051,1.59
Fab152,8,1,7,7,4,0.638,0.051,1.59
Fab153,8,1,7,7,4,0.638,0.051,1.59
Fab154,8,1,7,7,4,0.638,0.051,1.59
Fab155,8,1,7,7,4,0.638,0.051,1.59
Fab156,8,1,7,7,4,0.638,0.051,1.59
Fab157,8,1,7,7,4,0.638,0.051,1.59
Fab158,8,1,7,7,4,0.638,0.051,1.59
Fab159,8,1,7,7,4,0.638,0.051,1.59
Fab16,8,1,7,7,4,0.638,0.051,1.59
Fab160,8,1,7,7,4,0.638,0.051,1.59
Fab161,8,1,7,7,4,0.638,0.051,1.59
Fab162,8,1,7,7,4,0.638,0.051,1.59
Fab163,8,1,7,7,4,0.638,0.051,1.59
Fab164,8,1,7,7,4,0.638,0.051,1.59
Fab165,9,2,7,8,4,0.628,0.058,1.61
Fab166,8,1,7,7,4,0.638,0.051,1.59
Fab167,8,1,7,7,4,0.638,0.051,1.59
Fab168,7,0,7,7,4,0.638,0.051,1.59
Fab169,8,1,7,7,4,0.638,0.051,1.59
Fab17,8,1,7,7,4,0.638,0.051,1.59
Fab170,8,1,7,7,4,0.638,0.051,1.59
Fab171,8,1,7,7,4,0.638,0.051,1.59
Fab172,8,1,7,7,4,0.638,0.051,1.59
Fab173,8,1,7,7,4,0.638,0.051,1.59
Fab174,8,1,7,7,4,0.638,0.051,1.59
Fab175,8,1,7,7,4,0.638,0.051,1.59
Fab176,7,0,7,7,4,0.638,0.051,1.59
Fab177,8,1,7,7,4,0.638,0.051,1.59
Fab178,8,1,7,7,4,0.638,0.051,1.59
Fab179,8,1,7,7,4,0.638,0.051,1.59
Fab18,9,2,7,8,4,0.628,0.058,1.61
Fab180,8,1,7,7,4,0.638,0.051,1.59
Fab181,8,1,7,7,4,0.638,0.051,1.59
Fab182,7,0,7,7,4,0.638,0.051,1.59
Fab183,8,1,7,7,4,0.638,0.051,1.59
Fab184,8,1,7,7,4,0.638,0.051,1.59
Fab185,8,1,7,7,4,0.638,0.051,1.59
Fab186,8,1,7,7,4,0.638,0.051,1.59
Fab187,8,1,7,7,4,0.638,0.051,1.59
Fab188,8,1,7,7,4,0.638,0.051,1.59
Fab189,8,1,7,7,4,0.638,0.051,1.59
Fab19,8,1,7,7,4,0.638,0.051,1.59
Fab190,8,1,7,7,4,0.638,0.051,1.59
Fab191,8,1,7,7,4,0.638,0.051,1.59
Fab192,8,1,7,7,4,0.638,0.051,1.59
Fab193,8,1,7,7,4,0.638,0.051,1.59
Fab194,8,1,7,7,4,0.638,0.051,1.59
Fab195,8,1,7,7,4,0.638,0.051,1.59
Fab196,8,1,7,7,4,0.638,0.051,1.59
Fab197,8,1,7,7,4,0.638,0.051,1.59
Fab198,8,1,7,7,4,0.638,0.051,1.59
Fab199,8,1,7,7,4,0.638,0.051,1.59
Fab20,8,1,7,7,4,0.638,0.051,1.59
Fab200,8,1,7,7,4,0.638,0.051,1.59
Fab201,8,1,7,7,4,0.638,0.051,1.59
Fab202,8,1,7,7,4,0.638,0.051,1.59
Fab203,8,1,7,7,4,0.638,0.051,1.59
Fab204,7,0,7,7,4,0.638,0.051,1.59
Fab205,8,1,7,7,4,0.638,0.051,1.59
Fab206,8,1,7,7,4,0.638,0.051,1.59
Fab207,8,1,7,7,4,0.638,0.051,1.59
Fab208,8,1,7,7,4,0.638,0.051,1.59
Fab209,9,2,7,8,4,0.628,0.058,1.61
Fab21,7,0,7,7,4,0.638,0.051,1.59
Fab210,8,1,7,7,4,0.638,0.051,1.59
Fab211,8,1,7,7,4,0.638,0.051,1.59
Fab212,8,1,7,7,4,0.638,0.051,1.59
Fab22,7,0,7,7,4,0.638,0.051,1.59
Fab23,8,1,7,7,4,0.638,0.051,1.59
Fab24,8,1,7,7,4,0.638,0.051,1.59
Fab25,8,1,7,7,4,0.638,0.051,1.59
Fab26,8,1,7,7,4,0.638,0.051,1.59
Fab27,7,0,7,7,4,0.638,0.051,1.59
Fab28,7,0,7,7,4,0.638,0.051,1.59
Fab29,9,2,7,8,4,0.628,0.058,1.61
Fab30,8,1,7,7,4,0.638,0.051,1.59
Fab31,8,1,7,7,4,0.638,0.051,1.59
Fab32,8,1,7,7,4,0.638,0.051,1.59
Fab33,7,0,7,7,4,0.638,0.051,1.59
Fab34,8,1,7,7,4,0.638,0.051,1.59
Fab35,9,2,7,8,4,0.628,0.058,1.61
Fab36,8,1,7,7,4,0.638,0.051,1.59
Fab37,8,1,7,7,4,0.638,0.051,1.59
Fab38,9,2,7,8,4,0.628,0.058,1.61
Fab39,8,1,7,7,4,0.638,0.051,1.59
Fab40,8,1,7,7,4,0.638,0.051,1.59
Fab41,8,1,7,7,4,0.638,0.051,1.59
Fab42,8,1,7,7,4,0.638,0.051,1.59
Fab43,8,1,7,7,4,0.638,0.051,1.59
Fab44,8,1,7,7,4,0.638,0.051,1.59
Fab45,8,1,7,7,4,0.638,0.051,1.59
Fab46,8,1,7,7,4,0.638,0.051,1.59
Fab47,8,1,7,7,4,0.638,0.051,1.59
Fab48,8,1,7,7,4,0.638,0.051,1.59
Fab49,9,2,7,8,4,0.628,0.058,1.61
Fab50,8,1,7,7,4,0.638,0.051,1.59
Fab51,8,1,7,7,4,0.638,0.051,1.59
Fab52,8,1,7,7,4,0.638,0.051,1.59
Fab53,9,2,7,8,4,0.628,0.058,1.61
Fab54,8,1,7,7,4,0.638,0.051,1.59
Fab55,8,1,7,7,4,0.638,0.051,1.59
Fab56,8,1,7,7,4,0.638,0.051,1.59
Fab57,8,1,7,7,4,0.638,0.051,1.59
Fab58,8,1,7,7,4,0.638,0.051,1.59
Fab59,8,1,7,7,4,0.638,0.051,1.59
Fab60,8,1,7,7,4,0.638,0.051,1.59
Fab61,7,0,7,7,4,0.638,0.051,1.59
Fab62,8,1,7,7,4,0.638,0.051,1.59
Fab63,8,1,7,7,4,0.638,0.051,1.59
Fab64,8,1,7,7,4,0.638,0.051,1.59
Fab65,8,1,7,7,4,0.638,0.051,1.59
Fab66,9,2,7,8,4,0.628,0.058,1.61
Fab67,8,1,7,7,4,0.638,0.051,1.59
Fab68,8,1,7,7,4,0.638,0.051,1.59
Fab69,8,1,7,7,4,0.638,0.051,1.59
Fab70,8,1,7,7,4,0.638,0.051,1.59
Fab71,9,2,7,8,4,0.628,0.058,1.61
Fab72,8,1,7,7,4,0.638,0.051,1.59
Fab73,8,1,7,7,4,0.638,0.051,1.59
Fab74,8,1,7,7,4,0.638,0.051,1.59
Fab75,8,1,7,7,4,0.638,0.051,1.59
Fab76,8,1,7,7,4,0.638,0.051,1.59
Fab77,8,1,7,7,4,0.638,0.051,1.59
Fab78,8,1,7,7,4,0.638,0.051,1.59
Fab79,8,1,7,7,4,0.638,0.051,1.59
Fab80,8,1,7,7,4,0.638,0.051,1.59
Fab81,7,0,7,7,4,0.638,0.051,1.59
Fab82,8,1,7,7,4,0.638,0.051,1.59
Fab83,8,1,7,7,4,0.638,0.051,1.59
Fab84,7,0,7,7,4,0.638,0.051,1.59
Fab85,8,1,7,7,4,0.638,0.051,1.59
Fab86,8,1,7,7,4,0.638,0.051,1.59
Fab87,9,2,7,8,4,0.628,0.058,1.61
Fab88,8,1,7,7,4,0.638,0.051,1.59
Fab89,8,1,7,7,4,0.638,0.051,1.59
Fab90,8,1,7,7,4,0.638,0.051,1.59
Fab91,8,1,7,7,4,0.638,0.051,1.59
Fab92,9,2,7,8,4,0.628,0.058,1.61
Fab93,8,1,7,7,4,0.638,0.051,1.59
Fab94,8,1,7,7,4,0.638,0.051,1.59
Fab95,8,1,7,7,4,0.638,0.051,1.59
Fab96,8,1,7,7,4,0.638,0.051,1.59
Fab97,8,1,7,7,4,0.638,0.051,1.59
Fab98,8,1,7,7,4,0.638,0.051,1.59
Fab99,8,1,7,7,4,0.638,0.051,1.59
